"prodcodeid,""termfromemis"",""productname"",""drugsubstancename"",""bnfchapter"",""dmdid"""
"1952441000033118,""Cardicor 3.75mg tablets (Merck Serono Ltd)"",""Cardicor 3.75mg tablets"",""Bisoprolol fumarate"",""2040000"",""823111000001103"""
"2267641000033112,""Syprol 50mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"",""Syprol 50mg/5ml oral solution"",""Propranolol hydrochloride"",""2040000"",""823311000001101"""
"1426241000033117,""Tenoret 50mg/12.5mg tablets (AstraZeneca UK Ltd)"",""Tenoret 50mg/12.5mg tablets"",""Atenolol/ Chlortalidone"",""2040000"",""825011000001103"""
"2801941000033119,""Soloc 5mg tablets (Mercury Pharma Group Ltd)"",""Soloc 5mg tablets"",""Bisoprolol fumarate"",""2040000"",""859411000001109"""
"236141000033110,""Celectol 200mg tablets (Neon Healthcare Ltd)"",""Celectol 200mg tablets"",""Celiprolol hydrochloride"",""2040000"",""864811000001100"""
"1952741000033113,""Cardicor 10mg tablets (Merck Serono Ltd)"",""Cardicor 10mg tablets"",""Bisoprolol fumarate"",""2040000"",""890111000001100"""
"144041000033119,""Beta-Cardone 40mg tablets (Focus Pharmaceuticals Ltd)"",""Beta-Cardone 40mg tablets"",""Sotalol hydrochloride"",""2040000"",""900511000001103"""
"851041000033112,""Lopresor SR 200mg tablets (Recordati Pharmaceuticals Ltd)"",""Lopresor SR 200mg tablets"",""Metoprolol tartrate"",""2040000"",""916111000001108"""
"1268241000033114,""Sectral 200mg capsules (Sanofi)"",""Sectral 200mg capsules"",""Acebutolol hydrochloride"",""2040000"",""925711000001108"""
"1414941000033114,""Tenif 50mg/20mg modified-release capsules (AstraZeneca UK Ltd)"",""Tenif 50mg/20mg modified-release capsules"",""Atenolol/ Nifedipine"",""2040000"",""3142511000001102"""
"124341000033119,""Beta-Adalat modified-release capsules (Bayer Plc)"",""Beta-Adalat modified-release capsules"",""Atenolol/ Nifedipine"",""2040000"",""3142711000001107"""
"131141000033116,""Betaloc I.V. 5mg/5ml solution for injection ampoules (Recordati Pharmaceuticals Ltd)"",""Betaloc I.V. 5mg/5ml solution for injection ampoules"",""Metoprolol tartrate"",""2040000"",""3615711000001109"""
"1523941000033114,""Viskaldix tablets (Advanz Pharma)"",""Viskaldix tablets"",""Clopamide/ Pindolol"",""2040000"",""3638411000001101"""
"375341000033112,""Corgard 80mg tablets (Sanofi)"",""Corgard 80mg tablets"",""Nadolol"",""2040000"",""3687411000001106"""
"1524041000033111,""Visken 5mg tablets (Advanz Pharma)"",""Visken 5mg tablets"",""Pindolol"",""2040000"",""3706111000001105"""
"1525141000033111,""Visken 15mg tablets (Advanz Pharma)"",""Visken 15mg tablets"",""Pindolol"",""2040000"",""3887411000001101"""
"2866041000033110,""Vivacor 5mg tablets (Lexon (UK) Ltd)"",""Vivacor 5mg tablets"",""Bisoprolol fumarate"",""2040000"",""9105811000001100"""
"2866141000033114,""Vivacor 10mg tablets (Lexon (UK) Ltd)"",""Vivacor 10mg tablets"",""Bisoprolol fumarate"",""2040000"",""9739311000001105"""
"5655241000033110,""Brevibloc Premixed 100mg/10ml solution for injection vials (Baxter Healthcare Ltd)"",""Brevibloc Premixed 100mg/10ml solution for injection vials"",""Esmolol hydrochloride"",""2040000"",""10070311000001104"""
"4202241000033117,""Esmolol 100mg/10ml solution for injection vials"",""Esmolol 100mg/10ml solution for injection vials"",""Esmolol hydrochloride"",""2040000"",""35893311000001105"""
"216441000033110,""Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"",""Capozide 25mg/50mg tablets"",""Captopril/ Hydrochlorothiazide"",""2050501"",""17311000001102"""
"1769941000033115,""Tritace 10mg capsules (Sanofi)"",""Tritace 10mg capsules"",""Ramipril"",""2050501"",""43711000001100"""
"377541000033114,""Coversyl 2mg tablets (Servier Laboratories Ltd)"",""Coversyl 2mg tablets"",""Perindopril erbumine"",""2050501"",""48211000001104"""
"11641000033111,""Accupro 40mg tablets (Pfizer Ltd)"",""Accupro 40mg tablets"",""Quinapril hydrochloride"",""2050501"",""86411000001109"""
"1455541000033110,""Tritace 1.25mg capsules (Aventis Pharma)"",""Tritace 1.25mg capsules"",""Ramipril"",""2050501"",""111611000001109"""
"214141000033113,""Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"",""Capoten 12.5mg tablets"",""Captopril"",""2050501"",""134511000001103"""
"770141000033115,""Innozide 20mg/12.5mg tablets (Organon Pharma (UK) Ltd)"",""Innozide 20mg/12.5mg tablets"",""Enalapril maleate/ Hydrochlorothiazide"",""2050501"",""146811000001108"""
"2945841000033112,""Ecopace 12.5mg tablets (Advanz Pharma)"",""Ecopace 12.5mg tablets"",""Captopril"",""2050501"",""221411000001104"""
"13241000033114,""Accupro 10mg tablets (Pfizer Ltd)"",""Accupro 10mg tablets"",""Quinapril hydrochloride"",""2050501"",""231111000001106"""
"11241000033113,""Accuretic 10mg/12.5mg tablets (Pfizer Ltd)"",""Accuretic 10mg/12.5mg tablets"",""Hydrochlorothiazide/ Quinapril hydrochloride"",""2050501"",""260211000001104"""
"13141000033119,""Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"",""Acezide 25mg/50mg tablets"",""Captopril/ Hydrochlorothiazide"",""2050501"",""263311000001101"""
"769241000033112,""Innovace 20mg tablets (Organon Pharma (UK) Ltd)"",""Innovace 20mg tablets"",""Enalapril maleate"",""2050501"",""302311000001104"""
"769041000033116,""Innovace 10mg tablets (Organon Pharma (UK) Ltd)"",""Innovace 10mg tablets"",""Enalapril maleate"",""2050501"",""316111000001104"""
"214341000033111,""Capoten 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"",""Capoten 50mg tablets"",""Captopril"",""2050501"",""386611000001109"""
"1918641000033112,""Pralenal 2.5 tablets (Opus Pharmaceuticals Ltd)"",""Pralenal 2.5 tablets"",""Enalapril maleate"",""2050501"",""448611000001106"""
"214241000033118,""Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"",""Capoten 25mg tablets"",""Captopril"",""2050501"",""455611000001103"""
"1622141000033114,""Kaplon 25mg tablets (Teva UK Ltd)"",""Kaplon 25mg tablets"",""Captopril"",""2050501"",""477111000001100"""
"1918941000033117,""Pralenal 20 tablets (Opus Pharmaceuticals Ltd)"",""Pralenal 20 tablets"",""Enalapril maleate"",""2050501"",""508511000001105"""
"10941000033110,""Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"",""Acepril 25mg tablets"",""Captopril"",""2050501"",""517711000001103"""
"2145741000033116,""Tanatril 20mg tablets (Mitsubishi Tanabe Pharma Europe Ltd)"",""Tanatril 20mg tablets"",""Imidapril hydrochloride"",""2050501"",""533511000001106"""
"2739541000033117,""Coversyl Plus tablets (Servier Laboratories Ltd)"",""Coversyl Plus tablets"",""Indapamide/ Perindopril erbumine"",""2050501"",""562511000001109"""
"1622241000033119,""Kaplon 50mg tablets (Teva UK Ltd)"",""Kaplon 50mg tablets"",""Captopril"",""2050501"",""572511000001102"""
"1918741000033115,""Pralenal 5 tablets (Opus Pharmaceuticals Ltd)"",""Pralenal 5 tablets"",""Enalapril maleate"",""2050501"",""578511000001100"""
"13441000033110,""Accupro 5mg tablets (Pfizer Ltd)"",""Accupro 5mg tablets"",""Quinapril hydrochloride"",""2050501"",""582611000001106"""
"1552041000033115,""Zestril 2.5mg tablets (AstraZeneca UK Ltd)"",""Zestril 2.5mg tablets"",""Lisinopril"",""2050501"",""593111000001108"""
"2928441000033115,""Tensopril 25mg tablets (Teva UK Ltd)"",""Tensopril 25mg tablets"",""Captopril"",""2050501"",""597511000001109"""
"2928541000033119,""Tensopril 50mg tablets (Teva UK Ltd)"",""Tensopril 50mg tablets"",""Captopril"",""2050501"",""653111000001108"""
"10841000033119,""Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"",""Acepril 12.5mg tablets"",""Captopril"",""2050501"",""660111000001107"""
"2928341000033114,""Tensopril 12.5mg tablets (Teva UK Ltd)"",""Tensopril 12.5mg tablets"",""Captopril"",""2050501"",""673711000001107"""
"1753841000033118,""Tanatril 10mg tablets (Mitsubishi Tanabe Pharma Europe Ltd)"",""Tanatril 10mg tablets"",""Imidapril hydrochloride"",""2050501"",""680811000001102"""
"769341000033119,""Innovace 5mg tablets (Organon Pharma (UK) Ltd)"",""Innovace 5mg tablets"",""Enalapril maleate"",""2050501"",""730211000001104"""
"769141000033117,""Innovace 2.5mg tablets (Organon Pharma (UK) Ltd)"",""Innovace 2.5mg tablets"",""Enalapril maleate"",""2050501"",""749611000001107"""
"1918841000033113,""Pralenal 10 tablets (Opus Pharmaceuticals Ltd)"",""Pralenal 10 tablets"",""Enalapril maleate"",""2050501"",""761411000001101"""
"2946041000033114,""Ecopace 50mg tablets (Advanz Pharma)"",""Ecopace 50mg tablets"",""Captopril"",""2050501"",""767911000001101"""
"1622041000033110,""Kaplon 12.5mg tablets (Teva UK Ltd)"",""Kaplon 12.5mg tablets"",""Captopril"",""2050501"",""777711000001105"""
"1753941000033114,""Tanatril 5mg tablets (Mitsubishi Tanabe Pharma Europe Ltd)"",""Tanatril 5mg tablets"",""Imidapril hydrochloride"",""2050501"",""797911000001103"""
"1455741000033119,""Tritace 5mg capsules (Sanofi)"",""Tritace 5mg capsules"",""Ramipril"",""2050501"",""802311000001101"""
"11041000033117,""Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"",""Acepril 50mg tablets"",""Captopril"",""2050501"",""814111000001108"""
"2945941000033116,""Ecopace 25mg tablets (Advanz Pharma)"",""Ecopace 25mg tablets"",""Captopril"",""2050501"",""817411000001108"""
"1552241000033111,""Zestril 5mg tablets (AstraZeneca UK Ltd)"",""Zestril 5mg tablets"",""Lisinopril"",""2050501"",""823211000001109"""
"1551941000033114,""Zestril 10mg tablets (AstraZeneca UK Ltd)"",""Zestril 10mg tablets"",""Lisinopril"",""2050501"",""825311000001100"""
"13341000033116,""Accupro 20mg tablets (Pfizer Ltd)"",""Accupro 20mg tablets"",""Quinapril hydrochloride"",""2050501"",""829111000001100"""
"1455641000033111,""Tritace 2.5mg capsules (Sanofi)"",""Tritace 2.5mg capsules"",""Ramipril"",""2050501"",""835411000001105"""
"1552141000033116,""Zestril 20mg tablets (AstraZeneca UK Ltd)"",""Zestril 20mg tablets"",""Lisinopril"",""2050501"",""891711000001107"""
"377641000033110,""Coversyl 4mg tablets (Servier Laboratories Ltd)"",""Coversyl 4mg tablets"",""Perindopril erbumine"",""2050501"",""902211000001100"""
"2724641000033119,""Tritace titration pack capsules (Sanofi)"",""Tritace titration pack capsules"",NA,""2050501"",""3042211000001107"""
"1552341000033118,""Zestoretic 20 tablets (AstraZeneca UK Ltd)"",""Zestoretic 20 tablets"",""Hydrochlorothiazide/ Lisinopril"",""2050501"",""3143111000001100"""
"217041000033116,""Carace 20 Plus tablets (Organon Pharma (UK) Ltd)"",""Carace 20 Plus tablets"",""Hydrochlorothiazide/ Lisinopril"",""2050501"",""3143511000001109"""
"1551841000033118,""Zestoretic 10 tablets (AstraZeneca UK Ltd)"",""Zestoretic 10 tablets"",""Hydrochlorothiazide/ Lisinopril"",""2050501"",""3144311000001101"""
"209841000033115,""Carace 10 Plus tablets (Organon Pharma (UK) Ltd)"",""Carace 10 Plus tablets"",""Hydrochlorothiazide/ Lisinopril"",""2050501"",""3144511000001107"""
"2846641000033111,""Coversyl 8mg tablets (Servier Laboratories Ltd)"",""Coversyl 8mg tablets"",""Perindopril erbumine"",""2050501"",""3803711000001101"""
"1834341000033110,""Triapin 5mg/5mg modified-release tablets (Sanofi)"",""Triapin 5mg/5mg modified-release tablets"",""Felodipine/ Ramipril"",""2050501"",""3887911000001109"""
"1065941000033115,""Perdix 15mg tablets (UCB Pharma Ltd)"",""Perdix 15mg tablets"",""Moexipril hydrochloride"",""2050501"",""4040311000001101"""
"1066041000033113,""Perdix 7.5mg tablets (UCB Pharma Ltd)"",""Perdix 7.5mg tablets"",""Moexipril hydrochloride"",""2050501"",""4041111000001109"""
"8264941000033119,""Triapin 2.5mg/2.5mg modified-release tablets (Sanofi)"",""Triapin 2.5mg/2.5mg modified-release tablets"",""Felodipine/ Ramipril"",""2050501"",""4093211000001109"""
"2989941000033114,""Tritace 1.25mg tablets (Sanofi)"",""Tritace 1.25mg tablets"",""Ramipril"",""2050501"",""5010511000001106"""
"2990041000033116,""Tritace 2.5mg tablets (Sanofi)"",""Tritace 2.5mg tablets"",""Ramipril"",""2050501"",""5010811000001109"""
"2990141000033117,""Tritace 5mg tablets (Sanofi)"",""Tritace 5mg tablets"",""Ramipril"",""2050501"",""5011111000001108"""
"2990241000033112,""Tritace 10mg tablets (Sanofi)"",""Tritace 10mg tablets"",""Ramipril"",""2050501"",""5011411000001103"""
"3159741000033111,""Lopace 2.5mg capsules (Discovery Pharmaceuticals)"",""Lopace 2.5mg capsules"",""Ramipril"",""2050501"",""7948711000001102"""
"3159841000033118,""Lopace 5mg capsules (Discovery Pharmaceuticals)"",""Lopace 5mg capsules"",""Ramipril"",""2050501"",""7948911000001100"""
"3159941000033114,""Lopace 10mg capsules (Discovery Pharmaceuticals)"",""Lopace 10mg capsules"",""Ramipril"",""2050501"",""7949111000001105"""
"3279541000033115,""Lisicostad 10mg/12.5mg tablets (Genus Pharmaceuticals Ltd)"",""Lisicostad 10mg/12.5mg tablets"",""Hydrochlorothiazide/ Lisinopril"",""2050501"",""8145711000001102"""
"3279641000033119,""Lisicostad 20mg/12.5mg tablets (Genus Pharmaceuticals Ltd)"",""Lisicostad 20mg/12.5mg tablets"",""Hydrochlorothiazide/ Lisinopril"",""2050501"",""8145911000001100"""
"4454641000033117,""Coversyl Arginine Plus 5mg/1.25mg tablets (Servier Laboratories Ltd)"",""Coversyl Arginine Plus 5mg/1.25mg tablets"",""Indapamide/ Perindopril arginine"",""2050501"",""13444311000001104"""
"4454441000033119,""Coversyl Arginine 10mg tablets (Servier Laboratories Ltd)"",""Coversyl Arginine 10mg tablets"",""Perindopril arginine"",""2050501"",""13444611000001109"""
"4454341000033113,""Coversyl Arginine 5mg tablets (Servier Laboratories Ltd)"",""Coversyl Arginine 5mg tablets"",""Perindopril arginine"",""2050501"",""13444911000001103"""
"4454241000033115,""Coversyl Arginine 2.5mg tablets (Servier Laboratories Ltd)"",""Coversyl Arginine 2.5mg tablets"",""Perindopril arginine"",""2050501"",""13445211000001108"""
"8961341000033119,""Noyada 25mg/5ml oral solution (Martindale Pharmaceuticals Ltd)"",""Noyada 25mg/5ml oral solution"",""Captopril"",""2050501"",""23681711000001107"""
"8961241000033112,""Noyada 5mg/5ml oral solution (Martindale Pharmaceuticals Ltd)"",""Noyada 5mg/5ml oral solution"",""Captopril"",""2050501"",""23682011000001102"""
"19341000033119,""Adalat retard 20mg tablets (Bayer Plc)"",""Adalat retard 20mg tablets"",""Nifedipine"",""2060200"",""5011000001109"""
"452841000033118,""Dilzem SR 120 capsules (Teva UK Ltd)"",""Dilzem SR 120 capsules"",""Diltiazem hydrochloride"",""2060200"",""5711000001106"""
"1550841000033111,""Zanidip 10mg tablets (Recordati Pharmaceuticals Ltd)"",""Zanidip 10mg tablets"",""Lercanidipine hydrochloride"",""2060200"",""20011000001105"""
"14141000033116,""Adalat 5mg capsules (Bayer Plc)"",""Adalat 5mg capsules"",""Nifedipine"",""2060200"",""27111000001107"""
"1520141000033118,""Viazem XL 120mg capsules (Thornton & Ross Ltd)"",""Viazem XL 120mg capsules"",""Diltiazem hydrochloride"",""2060200"",""32311000001105"""
"1520241000033113,""Viazem XL 180mg capsules (Thornton & Ross Ltd)"",""Viazem XL 180mg capsules"",""Diltiazem hydrochloride"",""2060200"",""33211000001108"""
"2676041000033111,""Disogram SR 300mg capsules (Ranbaxy (UK) Ltd)"",""Disogram SR 300mg capsules"",""Diltiazem hydrochloride"",""2060200"",""34711000001104"""
"1094041000033119,""Plendil 10mg modified-release tablets (AstraZeneca UK Ltd)"",""Plendil 10mg modified-release tablets"",""Felodipine"",""2060200"",""48511000001101"""
"1489741000033113,""Univer 240mg modified-release capsules (Teva UK Ltd)"",""Univer 240mg modified-release capsules"",""Verapamil hydrochloride"",""2060200"",""65411000001102"""
"18241000033116,""Adipine MR 20 tablets (Chiesi Ltd)"",""Adipine MR 20 tablets"",""Nifedipine"",""2060200"",""74111000001103"""
"1570441000033110,""Angitil XL 240 capsules (Ethypharm UK Ltd)"",""Angitil XL 240 capsules"",""Diltiazem hydrochloride"",""2060200"",""75111000001104"""
"1442841000033115,""Tildiem Retard 90mg tablets (Sanofi)"",""Tildiem Retard 90mg tablets"",""Diltiazem hydrochloride"",""2060200"",""103611000001105"""
"1833041000033110,""Zemtard 120 XL capsules (Galen Ltd)"",""Zemtard 120 XL capsules"",""Diltiazem hydrochloride"",""2060200"",""105211000001107"""
"2675641000033113,""Disogram SR 240mg capsules (Ranbaxy (UK) Ltd)"",""Disogram SR 240mg capsules"",""Diltiazem hydrochloride"",""2060200"",""108711000001107"""
"2675041000033119,""Disogram SR 120mg capsules (Ranbaxy (UK) Ltd)"",""Disogram SR 120mg capsules"",""Diltiazem hydrochloride"",""2060200"",""116711000001106"""
"199041000033110,""Cardene SR 45mg capsules (Astellas Pharma Ltd)"",""Cardene SR 45mg capsules"",""Nicardipine hydrochloride"",""2060200"",""118811000001102"""
"1346541000033112,""Slozem 180mg capsules (Zentiva)"",""Slozem 180mg capsules"",""Diltiazem hydrochloride"",""2060200"",""119211000001108"""
"336641000033114,""Coracten SR 10mg capsules (UCB Pharma Ltd)"",""Coracten SR 10mg capsules"",""Nifedipine"",""2060200"",""126411000001108"""
"1346441000033111,""Slozem 120mg capsules (Zentiva)"",""Slozem 120mg capsules"",""Diltiazem hydrochloride"",""2060200"",""130211000001109"""
"66041000033110,""Angiozem CR 120mg tablets (Ashbourne Pharmaceuticals Ltd)"",""Angiozem CR 120mg tablets"",""Diltiazem hydrochloride"",""2060200"",""144811000001101"""
"1724941000033113,""Coracten XL 30mg capsules (UCB Pharma Ltd)"",""Coracten XL 30mg capsules"",""Nifedipine"",""2060200"",""162811000001100"""
"787941000033112,""Istin 5mg tablets (Upjohn UK Ltd)"",""Istin 5mg tablets"",""Amlodipine"",""2060200"",""172711000001100"""
"605941000033110,""Fortipine LA 40 tablets (Advanz Pharma)"",""Fortipine LA 40 tablets"",""Nifedipine"",""2060200"",""188711000001108"""
"1489541000033117,""Univer 120mg modified-release capsules (Teva UK Ltd)"",""Univer 120mg modified-release capsules"",""Verapamil hydrochloride"",""2060200"",""219711000001103"""
"17241000033117,""Adalat LA 60mg tablets (Bayer Plc)"",""Adalat LA 60mg tablets"",""Nifedipine"",""2060200"",""235511000001104"""
"453041000033116,""Dilzem XL 120 capsules (Teva UK Ltd)"",""Dilzem XL 120 capsules"",""Diltiazem hydrochloride"",""2060200"",""243111000001108"""
"453141000033117,""Dilzem XL 180 capsules (Teva UK Ltd)"",""Dilzem XL 180 capsules"",""Diltiazem hydrochloride"",""2060200"",""254911000001106"""
"2674941000033119,""Disogram SR 90mg capsules (Ranbaxy (UK) Ltd)"",""Disogram SR 90mg capsules"",""Diltiazem hydrochloride"",""2060200"",""256611000001109"""
"375141000033114,""Cordilox 80mg tablets (IVAX Pharmaceuticals UK Ltd)"",""Cordilox 80mg tablets"",""Verapamil hydrochloride"",""2060200"",""258911000001104"""
"1441841000033112,""Tildiem LA 200 capsules (Sanofi)"",""Tildiem LA 200 capsules"",""Diltiazem hydrochloride"",""2060200"",""261611000001107"""
"176841000033116,""Cardene 30mg capsules (Astellas Pharma Ltd)"",""Cardene 30mg capsules"",""Nicardipine hydrochloride"",""2060200"",""291111000001102"""
"65441000033110,""Angitil SR 120 capsules (Ethypharm UK Ltd)"",""Angitil SR 120 capsules"",""Diltiazem hydrochloride"",""2060200"",""298811000001103"""
"937141000033113,""Motens 4mg tablets (GlaxoSmithKline UK Ltd)"",""Motens 4mg tablets"",""Lacidipine"",""2060200"",""333011000001100"""
"65541000033111,""Angitil SR 180 capsules (Ethypharm UK Ltd)"",""Angitil SR 180 capsules"",""Diltiazem hydrochloride"",""2060200"",""336611000001101"""
"176741000033114,""Cardene 20mg capsules (Astellas Pharma Ltd)"",""Cardene 20mg capsules"",""Nicardipine hydrochloride"",""2060200"",""344811000001108"""
"1833241000033119,""Zemtard 240 XL capsules (Galen Ltd)"",""Zemtard 240 XL capsules"",""Diltiazem hydrochloride"",""2060200"",""345411000001107"""
"1602541000033111,""Dilcardia SR 90mg capsules (Mylan)"",""Dilcardia SR 90mg capsules"",""Diltiazem hydrochloride"",""2060200"",""353011000001101"""
"1442741000033113,""Tildiem Retard 120mg tablets (Sanofi)"",""Tildiem Retard 120mg tablets"",""Diltiazem hydrochloride"",""2060200"",""383911000001109"""
"1421341000033117,""Tensipine MR 20 tablets (Genus Pharmaceuticals Ltd)"",""Tensipine MR 20 tablets"",""Nifedipine"",""2060200"",""385611000001104"""
"364241000033112,""Coracten SR 20mg capsules (UCB Pharma Ltd)"",""Coracten SR 20mg capsules"",""Nifedipine"",""2060200"",""389611000001101"""
"1489641000033116,""Univer 180mg modified-release capsules (Teva UK Ltd)"",""Univer 180mg modified-release capsules"",""Verapamil hydrochloride"",""2060200"",""391811000001102"""
"1520441000033114,""Viazem XL 300mg capsules (Thornton & Ross Ltd)"",""Viazem XL 300mg capsules"",""Diltiazem hydrochloride"",""2060200"",""407011000001105"""
"788041000033110,""Istin 10mg tablets (Upjohn UK Ltd)"",""Istin 10mg tablets"",""Amlodipine"",""2060200"",""408111000001107"""
"1421241000033110,""Tensipine MR 10 tablets (Genus Pharmaceuticals Ltd)"",""Tensipine MR 10 tablets"",""Nifedipine"",""2060200"",""413111000001101"""
"452641000033119,""Dilzem SR 60 capsules (Teva UK Ltd)"",""Dilzem SR 60 capsules"",""Diltiazem hydrochloride"",""2060200"",""417111000001109"""
"65941000033117,""Angiozem CR 90mg tablets (Ashbourne Pharmaceuticals Ltd)"",""Angiozem CR 90mg tablets"",""Diltiazem hydrochloride"",""2060200"",""440711000001104"""
"1570541000033111,""Angitil XL 300 capsules (Ethypharm UK Ltd)"",""Angitil XL 300 capsules"",""Diltiazem hydrochloride"",""2060200"",""467111000001105"""
"2674841000033110,""Disogram SR 60mg capsules (Ranbaxy (UK) Ltd)"",""Disogram SR 60mg capsules"",""Diltiazem hydrochloride"",""2060200"",""469811000001106"""
"1094141000033115,""Plendil 5mg modified-release tablets (AstraZeneca UK Ltd)"",""Plendil 5mg modified-release tablets"",""Felodipine"",""2060200"",""490211000001101"""
"1833541000033117,""Verapress MR 240mg tablets (Dexcel-Pharma Ltd)"",""Verapress MR 240mg tablets"",""Verapamil hydrochloride"",""2060200"",""525311000001101"""
"1661641000033116,""Optil 60mg modified-release tablets (Opus Pharmaceuticals Ltd)"",""Optil 60mg modified-release tablets"",""Diltiazem hydrochloride"",""2060200"",""527711000001108"""
"1275141000033117,""Securon SR 240mg tablets (Mylan)"",""Securon SR 240mg tablets"",""Verapamil hydrochloride"",""2060200"",""540111000001108"""
"198941000033118,""Cardene SR 30mg capsules (Astellas Pharma Ltd)"",""Cardene SR 30mg capsules"",""Nicardipine hydrochloride"",""2060200"",""540311000001105"""
"2261241000033118,""Slozem 300mg capsules (Zentiva)"",""Slozem 300mg capsules"",""Diltiazem hydrochloride"",""2060200"",""550211000001104"""
"375041000033110,""Cordilox 40mg tablets (IVAX Pharmaceuticals UK Ltd)"",""Cordilox 40mg tablets"",""Verapamil hydrochloride"",""2060200"",""557111000001106"""
"1093941000033116,""Plendil 2.5mg modified-release tablets (AstraZeneca UK Ltd)"",""Plendil 2.5mg modified-release tablets"",""Felodipine"",""2060200"",""562711000001104"""
"19441000033113,""Adalat retard 10mg tablets (Bayer Plc)"",""Adalat retard 10mg tablets"",""Nifedipine"",""2060200"",""569011000001108"""
"1346641000033113,""Slozem 240mg capsules (Zentiva)"",""Slozem 240mg capsules"",""Diltiazem hydrochloride"",""2060200"",""599811000001104"""
"1520541000033110,""Viazem XL 360mg capsules (Thornton & Ross Ltd)"",""Viazem XL 360mg capsules"",""Diltiazem hydrochloride"",""2060200"",""648211000001107"""
"1754841000033116,""Vertab SR 240 tablets (Chiesi Ltd)"",""Vertab SR 240 tablets"",""Verapamil hydrochloride"",""2060200"",""675611000001104"""
"452741000033111,""Dilzem SR 90 capsules (Teva UK Ltd)"",""Dilzem SR 90 capsules"",""Diltiazem hydrochloride"",""2060200"",""682311000001105"""
"2675341000033117,""Disogram SR 180mg capsules (Ranbaxy (UK) Ltd)"",""Disogram SR 180mg capsules"",""Diltiazem hydrochloride"",""2060200"",""713411000001103"""
"1602341000033116,""Dilcardia SR 120mg capsules (Mylan)"",""Dilcardia SR 120mg capsules"",""Diltiazem hydrochloride"",""2060200"",""723811000001107"""
"453241000033112,""Dilzem XL 240 capsules (Teva UK Ltd)"",""Dilzem XL 240 capsules"",""Diltiazem hydrochloride"",""2060200"",""733511000001107"""
"2129041000033118,""Cordilox MR 240mg tablets (Teva UK Ltd)"",""Cordilox MR 240mg tablets"",""Verapamil hydrochloride"",""2060200"",""740811000001102"""
"1443841000033113,""Tildiem 60mg modified-release tablets (Sanofi)"",""Tildiem 60mg modified-release tablets"",""Diltiazem hydrochloride"",""2060200"",""762011000001102"""
"14041000033115,""Adalat 10mg capsules (Bayer Plc)"",""Adalat 10mg capsules"",""Nifedipine"",""2060200"",""782511000001108"""
"374941000033110,""Cordilox 160mg tablets (IVAX Pharmaceuticals UK Ltd)"",""Cordilox 160mg tablets"",""Verapamil hydrochloride"",""2060200"",""783511000001101"""
"1833141000033114,""Zemtard 180 XL capsules (Galen Ltd)"",""Zemtard 180 XL capsules"",""Diltiazem hydrochloride"",""2060200"",""813611000001103"""
"18341000033114,""Adipine MR 10 tablets (Chiesi Ltd)"",""Adipine MR 10 tablets"",""Nifedipine"",""2060200"",""833611000001109"""
"660641000033112,""Half Securon SR 120mg tablets (Mylan)"",""Half Securon SR 120mg tablets"",""Verapamil hydrochloride"",""2060200"",""846611000001102"""
"65341000033116,""Angitil SR 90 capsules (Ethypharm UK Ltd)"",""Angitil SR 90 capsules"",""Diltiazem hydrochloride"",""2060200"",""857011000001109"""
"1833341000033112,""Zemtard 300 XL capsules (Galen Ltd)"",""Zemtard 300 XL capsules"",""Diltiazem hydrochloride"",""2060200"",""866811000001107"""
"1766341000033113,""Adalat LA 20mg tablets (Bayer Plc)"",""Adalat LA 20mg tablets"",""Nifedipine"",""2060200"",""881811000001100"""
"1520341000033115,""Viazem XL 240mg capsules (Thornton & Ross Ltd)"",""Viazem XL 240mg capsules"",""Diltiazem hydrochloride"",""2060200"",""886511000001107"""
"1441741000033119,""Tildiem LA 300 capsules (Sanofi)"",""Tildiem LA 300 capsules"",""Diltiazem hydrochloride"",""2060200"",""893111000001107"""
"1745041000033110,""Nifedipress MR 10 tablets (Dexcel-Pharma Ltd)"",""Nifedipress MR 10 tablets"",""Nifedipine"",""2060200"",""904011000001104"""
"937041000033114,""Motens 2mg tablets (GlaxoSmithKline UK Ltd)"",""Motens 2mg tablets"",""Lacidipine"",""2060200"",""910911000001108"""
"1602441000033110,""Dilcardia SR 60mg capsules (Mylan)"",""Dilcardia SR 60mg capsules"",""Diltiazem hydrochloride"",""2060200"",""937011000001101"""
"17141000033112,""Adalat LA 30mg tablets (Bayer Plc)"",""Adalat LA 30mg tablets"",""Nifedipine"",""2060200"",""2881311000001105"""
"19641000033110,""Adizem-SR 120mg tablets (Napp Pharmaceuticals Ltd)"",""Adizem-SR 120mg tablets"",""Diltiazem hydrochloride"",""2060200"",""2885611000001102"""
